Address,Area,Price_per_ft2,Rooms,Area-ft2,Rent_Price,Lat,Long
West 105th Street,Upper West Side,2.94,5.0,3400,10000,,
East 97th Street,Upper East Side,3.57,3.0,2100,7500,,
West 105th Street,Upper West Side,1.89,4.0,2800,5300,,
CARMINE ST.,West Village,3.03,2.0,1650,5000,,
171 W 23RD ST. ,Chelsea,3.45,2.0,1450,5000,,
76 CARMINE ST. ,West Village,3.56,2.0,1350,4800,,
E 91ST,Upper East Side,3.21,2.0,1450,4650,,
333 east 81st street ,Upper East Side,1.85,3.0,2430,4500,,
EAST 88TH STREET,Upper East Side,3.21,2.0,1400,4500,,
East 77th Street,Upper East Side,5.00,1.0,900,4500,,
W 23RD ST.,Chelsea,2.21,2.0,2040,4500,,
EAST 30TH STREET,Murray Hill,2.09,2.0,2150,4500,,
East 30th street,Murray Hill,1.96,3.0,2300,4500,,
EAST 89TH STREET,Upper East Side,2.07,3.0,2100,4350,,
east 30th street,Murray Hill,3.25,2.0,1340,4350,,
W 23RD ST.,Chelsea,3.04,2.0,1400,4250,,
171 W 23RD ST.,Rental in Lenox Hill,5.54,2.0,1579,8750,,
211 East 70th Street,Chelsea,4.57,1.0,930,4250,,
135 W 24TH ST. ,Chelsea,4.83,1.0,870,4200,,
East 77th Street,Upper East Side,4.44,1.0,900,4000,,
East 77th Street,Upper East Side,5.33,1.0,750,4000,,
East 77th Street,Upper East Side,5.00,1.0,800,4000,,
205 East 92nd Street,Rental in Yorkville,7.27,3.0,2200,15984,,
136 West Houston Street,Rental in Greenwich Village,7.60,3.0,2100,15950,,
110 Greenwich Street,Rental in Financial District,6.00,6.0,2000,12000,,
200 East 82nd Street,Rental in Yorkville,6.69,3.0,1647,11016,,
393 West End Avenue,Rental in Riverside Dr./West End Ave.,7.15,4.0,2230,15950,,
201 East 86th Street,Rental in Yorkville,5.87,4.0,2300,13511,,
476 West 142nd Street,Rental in Hamilton Heights,2.73,2.0,3200,8750,,
1214 Fifth Avenue,No fee rental in East Harlem,4.78,3.0,1450,6930,,
50 Murray Street,No fee rental in Tribeca,6.48,2.0,1038,6724,,
20 Warren Street,Rental in Tribeca,4.78,4.0,2500,11950,,
15 West 55th Street,Rental in Midtown West,5.00,3.0,1500,7500,,
537 West 27th Street,Rental in Chelsea,5.72,2.0,1267,7250,,
125 West 31st Street,Rental in Midtown West,5.61,2.0,1250,7011,,
210 East 68th Street,Rental in Lenox Hill,5.28,2.0,1308,6900,,
140 Riverside Boulevard,No fee rental in Riverside Dr./West End Ave.,5.46,2.0,1230,6710,,
315 Central Park West,Rental in Central Park West,5.56,3.0,1800,10000,,
305 East 63rd Street,Rental in Lenox Hill,6.47,3.0,1392,9000,,
303 East 83rd Street,No fee rental in Yorkville,6.79,4.0,1759,11950,,
1113 York Avenue,Rental in Lenox Hill,6.29,3.0,1750,11000,,
393 West End Avenue,Rental in Riverside Dr./West End Ave.,6.16,3.0,1622,9995,,
51 Murray Street,Rental in Tribeca,5.63,2.0,1600,9000,,
162 East 63rd Street,Rental in Lenox Hill,11.74,2.0,852,10000,,
105 West 29th Street,No fee rental in Chelsea,8.16,2.0,1113,9080,,
9 East 62nd Street,Rental in Park/Fifth Ave. to 79th St.,8.95,3.0,950,8500,,
221 East 60th Street,Rental in Lenox Hill,5.00,5.0,1600,8000,,
317-319 Greenwich Street,Rental in Tribeca,3.63,2.0,2000,7250,,
1 Morningside Drive,No fee rental in Morningside Heights,5.20,3.0,1347,7010,,
93 Grand Street,Rental in SoHo,3.45,1.0,2000,6900,,
50 West 22nd Street,Rental in Chelsea,4.29,3.0,2000,8585,,
146 Beekman Street,Rental in Financial District,5.02,3.0,1600,8027,,
1214 Fifth Avenue,No fee rental in East Harlem,5.20,2.0,1500,7795,,
31 West 10th Street,Rental in Greenwich Village,6.75,2.0,2000,13500,,
50 Murray Street,No fee rental in Tribeca,4.65,3.0,1566,7286,,
201 East 86th Street,Rental in Yorkville,6.70,3.0,1050,7031,,
19 Dutch Street,Rental in Financial District,6.48,2.0,1070,6935,,
100 West 26th Street,No fee rental in Chelsea,5.55,2.0,1214,6733,,
201 East 86th Street,Rental in Yorkville,6.55,2.0,1005,6578,,
95 Wall Street,Rental in Financial District,4.88,2.0,1320,6435,,
160 West 16th Street,Rental in Chelsea,4.85,2.0,1300,6300,,
10 East 29th Street,Rental in Flatiron/Union Square,5.77,2.0,1350,7783,,
305 East 63rd Street,Rental in Lenox Hill,5.82,2.0,1289,7500,,
260 West 26th Street,Rental in Chelsea,5.41,2.0,1340,7250,,
125 West 31st Street,Rental in Midtown West,5.39,2.0,1300,7011,,
50 East 28th Street,No fee rental in Flatiron/Union Square,6.47,2.0,1067,6905,,
393 West End Avenue,Rental in Riverside Dr./West End Ave.,8.18,3.0,1622,13270,,
92 Bank Street,Rental in West Village,7.46,2.0,1340,10000,,
50 Murray Street,No fee rental in Tribeca,5.58,3.0,1665,9286,,
21 West Street,No fee rental in Financial District,3.74,3.0,2300,8595,,
605 West 42nd Street,Rental in Midtown West,4.46,2.0,1800,8030,,
"105 Duane Street, NA",No fee rental in Tribeca,0.35,3.0,22200,7795,,
305 East 86th Street,Rental in Yorkville,5.71,3.0,1322,7551,,
240 East 27th Street,No fee rental in Murray Hill,4.67,3.0,1439,6715,,
240 Central Park South,Rental in Midtown West,4.33,2.0,1500,6500,,
265 East 66th Street,Rental in Lenox Hill,5.35,1.0,1200,6425,,
175 West 60th Street,No fee rental in Lincoln Center,6.99,1.0,900,6295,,
60 Fulton Street,Rental in Financial District,3.09,2.0,2000,6185,,
1 Union Square South,No fee rental in Flatiron/Union Square,6.75,2.0,1400,9455,,
150 East 57th Street,Rental in Midtown East,4.58,2.0,1300,5950,,
180 West 20th Street,No fee rental in Chelsea,5.48,2.0,1200,6570,,
160 East 48th Street,Rental in Midtown East,2.57,3.0,2500,6431,,
237 East 34th Street,Rental in Murray Hill,4.66,2.0,1350,6295,,
501 East 74th Street,Rental in Lenox Hill,4.43,2.0,1400,6195,,
182 Bleecker Street,Rental in Greenwich Village,4.62,2.0,1300,6000,,
236 West 10th Street,Rental in West Village,2.66,3.0,2450,6525,,
401 East 34th Street,Rental in Murray Hill,4.76,2.0,1350,6425,,
242 West 53rd Street,Rental in Midtown West,4.50,2.0,1400,6295,,
70 Pine Street,No fee rental in Financial District,4.13,2.0,1500,6188,,
52 Spring Street,Rental in NoLiTa/Little Italy,3.75,2.0,1600,6000,,
210 West 70th Street,No fee rental in Lincoln Center,4.25,2.0,1400,5950,,
225 East 70th Street,Rental in Lenox Hill,5.00,3.0,1500,7500,,
1080 Amsterdam Avenue,No fee rental in Morningside Heights,4.33,2.0,1800,7792,,
405 Main Street,No fee rental in Roosevelt Island,2.69,3.0,2700,7275,,
13 East 9th Street,Rental in Greenwich Village,7.83,1.0,830,6500,,
210 West 70th Street,No fee rental in Lincoln Center,4.01,2.0,1600,6418,,
250 West 93rd Street,No fee rental in Riverside Dr./West End Ave.,3.49,2.0,1800,6275,,
401 East 34th Street,Rental in Midtown West,4.58,3.0,1350,6182,,
510 East 14th Street,Rental in East Village,6.79,2.0,1300,8825,,
105 West 29th Street,No fee rental in Chelsea,7.93,1.0,750,5945,,
200 East 82nd Street,Rental in Yorkville,5.93,2.0,1184,7022,,
730 Columbus Avenue,No fee rental in Broadway Corridor,4.93,3.0,1400,6905,,
508 LaGuardia Place,Rental in Greenwich Village,10.38,2.0,1300,13500,,
316 East 53rd Street,Rental in Midtown East,11.25,1.0,1200,13500,,
316 East 53rd Street,Rental in Midtown East,4.50,2.0,3000,13500,,
201 East 86th Street,Rental in Yorkville,3.65,4.0,3700,13511,,
175 Franklin Street,Rental in Park/Fifth Ave,8.24,2.0,1700,14000,,
7 West 21st Street,No fee rental in Flatiron/Union Square,5.83,2.0,1800,10500,,
436 West 20th Street,Rental in Chelsea,5.63,2.0,2000,11250,,
242 West 53rd Street,Rental in Midtown West,6.66,3.0,2400,15995,,
11 East 78th Street,Rental in Park/Fifth Ave. to 79th St.,5.09,3.0,2700,13750,,
136 West Houston Street,Rental in Greenwich Village,4.93,3.0,2900,14300,,
254 East 68th Street,Rental in Lenox Hill,7.08,3.0,1694,12000,,
5 East 82nd Street,Rental in Carnegie Hill,6.11,1.0,1800,11000,,
305 Riverside Drive,Rental in Riverside Dr./West End Ave.,3.13,4.0,3200,10000,,
7 West 21st Street,No fee rental in Flatiron/Union Square,5.69,2.0,1600,9100,,
173 West Broadway,Rental in Tribeca,11.11,1.0,900,10000,,
21 West Street,No fee rental in Financial District,3.37,3.0,2700,9095,,
25 East 67th Street,Rental in Park/Fifth Ave. to 79th St.,8.80,1.0,970,8534,,
92 Bank Street,Rental in West Village,5.13,2.0,1560,8000,,
9 East 78th Street,Rental in Park/Fifth Ave. to 79th St.,8.38,2.0,1670,14000,,
361 East 50th Street,Rental in Midtown East,3.07,6.0,4560,14000,,
121 East 69th Street,Rental in Park/Fifth Ave. to 79th St.,2.74,6.0,4560,12500,,
105 Mulberry Street,Rental in NoLiTa/Little Italy,3.57,4.0,3500,12500,,
254 East 68th Street,Rental in Lenox Hill,6.55,3.0,1717,11250,,
915 West End Avenue,Rental in Riverside Dr./West End Ave.,3.56,4.0,3150,11200,,
550 West 54th Street,No fee rental in Midtown West,8.05,3.0,1300,10460,,
225 East 39th Street,No fee rental in Murray Hill,4.20,3.0,2450,10285,,
88 Leonard Street,No fee rental in Tribeca,4.19,3.0,2230,9350,,
915 West End Avenue,Rental in Riverside Dr./West End Ave.,5.26,3.0,2130,11200,,
1214 Fifth Avenue,No fee rental in East Harlem,4.57,3.0,2450,11190,,
200 East 82nd Street,Rental in Yorkville,6.87,3.0,1620,11126,,
162 East 81st Street,Rental in Carnegie Hill,1.00,2.0,10240,10250,,
420 East 54th Street,Rental in Beekman/Sutton Place,3.65,3.0,2560,9350,,
9 East 78th Street,Rental in Park/Fifth Ave. to 79th St.,10.22,2.0,1370,14000,,
510 East 14th Street,Rental in East Village,5.87,3.0,2130,12496,,
26 Washington Square North,Rental in Greenwich Village,5.73,3.0,2180,12500,,
360 West 34th Street,Rental in Midtown West,4.16,3.0,2240,9329,,
360 West 34th Street,No fee rental in Midtown West,7.77,3.0,1200,9329,,
200 East 72nd Street,Rental in Lenox Hill,5.15,3.0,1700,8750,,
50 Murray Street,No fee rental in Tribeca,7.11,2.0,1223,8700,,
300 East 56th Street,No fee rental in Midtown East,3.87,3.0,2100,8118,,
1930 Broadway,No fee rental in Central Park West,5.06,2.0,1600,8095,,
33 West 9th Street,Rental in Greenwich Village,6.67,2.0,1500,10000,,